,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
27557,F+M,"General, applied and forensic sciences",1,CONSTRUCTION,3,MANUFACTURING,0,Level 7 (taught)
27558,F+M,"General, applied and forensic sciences",1,CONSTRUCTION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27559,F+M,"General, applied and forensic sciences",1,EDUCATION,3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0,Level 7 (taught)
27560,F+M,"General, applied and forensic sciences",1,EDUCATION,3,MANUFACTURING,0,Level 7 (taught)
27561,F+M,"General, applied and forensic sciences",1,EDUCATION,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27562,F+M,"General, applied and forensic sciences",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27563,F+M,"General, applied and forensic sciences",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27564,F+M,"General, applied and forensic sciences",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27565,F+M,"General, applied and forensic sciences",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27566,F+M,"General, applied and forensic sciences",1,INFORMATION AND COMMUNICATION,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,Level 7 (taught)
27567,F+M,"General, applied and forensic sciences",1,MANUFACTURING,3,EDUCATION,0,Level 7 (taught)
27568,F+M,"General, applied and forensic sciences",1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27569,F+M,"General, applied and forensic sciences",1,OTHER SERVICE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27570,F+M,"General, applied and forensic sciences",1,OTHER SERVICE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27571,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27572,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27573,F+M,"General, applied and forensic sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27574,F+M,"General, applied and forensic sciences",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27575,F+M,"General, applied and forensic sciences",1,REAL ESTATE ACTIVITIES,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27576,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"AGRICULTURE, FORESTRY AND FISHING",0,Level 7 (taught)
27577,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27578,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27579,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27580,F+M,"General, applied and forensic sciences",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,Level 7 (taught)
27581,F+M,"Geography, earth and environmental studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27582,F+M,"Geography, earth and environmental studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27583,F+M,"Geography, earth and environmental studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,MANUFACTURING,0,Level 7 (taught)
27584,F+M,"Geography, earth and environmental studies",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27585,F+M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27586,F+M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,CONSTRUCTION,0,Level 7 (taught)
27587,F+M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27588,F+M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27589,F+M,"Geography, earth and environmental studies",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,Level 7 (taught)
27590,F+M,"Geography, earth and environmental studies",1,"ARTS, ENTERTAINMENT AND RECREATION",3,"AGRICULTURE, FORESTRY AND FISHING",0,Level 7 (taught)
27591,F+M,"Geography, earth and environmental studies",1,"ARTS, ENTERTAINMENT AND RECREATION",3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27592,F+M,"Geography, earth and environmental studies",1,CONSTRUCTION,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27593,F+M,"Geography, earth and environmental studies",1,CONSTRUCTION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27594,F+M,"Geography, earth and environmental studies",1,CONSTRUCTION,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27595,F+M,"Geography, earth and environmental studies",1,CONSTRUCTION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27596,F+M,"Geography, earth and environmental studies",1,EDUCATION,3,CONSTRUCTION,0,Level 7 (taught)
27597,F+M,"Geography, earth and environmental studies",1,EDUCATION,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27598,F+M,"Geography, earth and environmental studies",1,EDUCATION,3,MANUFACTURING,0,Level 7 (taught)
27599,F+M,"Geography, earth and environmental studies",1,EDUCATION,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27600,F+M,"Geography, earth and environmental studies",1,EDUCATION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27601,F+M,"Geography, earth and environmental studies",1,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27602,F+M,"Geography, earth and environmental studies",1,FINANCIAL AND INSURANCE ACTIVITIES,3,CONSTRUCTION,0,Level 7 (taught)
27603,F+M,"Geography, earth and environmental studies",1,FINANCIAL AND INSURANCE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27604,F+M,"Geography, earth and environmental studies",1,FINANCIAL AND INSURANCE ACTIVITIES,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27605,F+M,"Geography, earth and environmental studies",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27606,F+M,"Geography, earth and environmental studies",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27607,F+M,"Geography, earth and environmental studies",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27608,F+M,"Geography, earth and environmental studies",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27609,F+M,"Geography, earth and environmental studies",1,MANUFACTURING,3,EDUCATION,0,Level 7 (taught)
27610,F+M,"Geography, earth and environmental studies",1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27611,F+M,"Geography, earth and environmental studies",1,MINING AND QUARRYING,3,CONSTRUCTION,0,Level 7 (taught)
27612,F+M,"Geography, earth and environmental studies",1,OTHER SERVICE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27613,F+M,"Geography, earth and environmental studies",1,OTHER SERVICE ACTIVITIES,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,Level 7 (taught)
27614,F+M,"Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"AGRICULTURE, FORESTRY AND FISHING",0,Level 7 (taught)
27615,F+M,"Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27616,F+M,"Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27617,F+M,"Geography, earth and environmental studies",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27618,F+M,"Geography, earth and environmental studies",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",0,Level 7 (taught)
27619,F+M,"Geography, earth and environmental studies",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27620,F+M,"Geography, earth and environmental studies",1,TRANSPORTATION AND STORAGE,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27621,F+M,"Geography, earth and environmental studies",1,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",3,EDUCATION,0,Level 7 (taught)
27622,F+M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27623,F+M,"Geography, earth and environmental studies",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,MANUFACTURING,0,Level 7 (taught)
27624,F+M,Health and social care,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27625,F+M,Health and social care,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27626,F+M,Health and social care,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27627,F+M,Health and social care,1,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,3,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,0,Level 7 (taught)
27628,F+M,Health and social care,1,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27629,F+M,Health and social care,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27630,F+M,Health and social care,1,"ARTS, ENTERTAINMENT AND RECREATION",3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27631,F+M,Health and social care,1,CONSTRUCTION,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27632,F+M,Health and social care,1,CONSTRUCTION,3,CONSTRUCTION,0,Level 7 (taught)
27633,F+M,Health and social care,1,EDUCATION,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0,Level 7 (taught)
27634,F+M,Health and social care,1,EDUCATION,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27635,F+M,Health and social care,1,EDUCATION,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27636,F+M,Health and social care,1,FINANCIAL AND INSURANCE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27637,F+M,Health and social care,1,FINANCIAL AND INSURANCE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27638,F+M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27639,F+M,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27640,F+M,Health and social care,1,INFORMATION AND COMMUNICATION,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0,Level 7 (taught)
27641,F+M,Health and social care,1,INFORMATION AND COMMUNICATION,3,EDUCATION,0,Level 7 (taught)
27642,F+M,Health and social care,1,INFORMATION AND COMMUNICATION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27643,F+M,Health and social care,1,MANUFACTURING,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27644,F+M,Health and social care,1,MANUFACTURING,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27645,F+M,Health and social care,1,OTHER SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27646,F+M,Health and social care,1,OTHER SERVICE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27647,F+M,Health and social care,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27648,F+M,Health and social care,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27649,F+M,Health and social care,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27650,F+M,Health and social care,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27651,F+M,Health and social care,1,REAL ESTATE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27652,F+M,Health and social care,1,REAL ESTATE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27653,F+M,Health and social care,1,REAL ESTATE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27654,F+M,Health and social care,1,REAL ESTATE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27655,F+M,Health and social care,1,TRANSPORTATION AND STORAGE,3,EDUCATION,0,Level 7 (taught)
27656,F+M,Health and social care,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27657,F+M,Health and social care,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27658,F+M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27659,F+M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27660,F+M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,MANUFACTURING,0,Level 7 (taught)
27661,F+M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27662,F+M,History and archaeology,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27663,F+M,History and archaeology,1,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27664,F+M,History and archaeology,1,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27665,F+M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0,Level 7 (taught)
27666,F+M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27667,F+M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,MANUFACTURING,0,Level 7 (taught)
27668,F+M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27669,F+M,History and archaeology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27670,F+M,History and archaeology,1,"AGRICULTURE, FORESTRY AND FISHING",3,"AGRICULTURE, FORESTRY AND FISHING",0,Level 7 (taught)
27671,F+M,History and archaeology,1,"AGRICULTURE, FORESTRY AND FISHING",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27672,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27673,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27674,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,MANUFACTURING,0,Level 7 (taught)
27675,F+M,History and archaeology,1,"ARTS, ENTERTAINMENT AND RECREATION",3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27676,F+M,History and archaeology,1,CONSTRUCTION,3,EDUCATION,0,Level 7 (taught)
27677,F+M,History and archaeology,1,CONSTRUCTION,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27678,F+M,History and archaeology,1,CONSTRUCTION,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27679,F+M,History and archaeology,1,CONSTRUCTION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27680,F+M,History and archaeology,1,EDUCATION,3,CONSTRUCTION,0,Level 7 (taught)
27681,F+M,History and archaeology,1,EDUCATION,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27682,F+M,History and archaeology,1,EDUCATION,3,MANUFACTURING,0,Level 7 (taught)
27683,F+M,History and archaeology,1,EDUCATION,3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27684,F+M,History and archaeology,1,FINANCIAL AND INSURANCE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27685,F+M,History and archaeology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27686,F+M,History and archaeology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27687,F+M,History and archaeology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27688,F+M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,CONSTRUCTION,0,Level 7 (taught)
27689,F+M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0,Level 7 (taught)
27690,F+M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27691,F+M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27692,F+M,History and archaeology,1,INFORMATION AND COMMUNICATION,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27693,F+M,History and archaeology,1,MANUFACTURING,3,EDUCATION,0,Level 7 (taught)
27694,F+M,History and archaeology,1,MANUFACTURING,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27695,F+M,History and archaeology,1,MANUFACTURING,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27696,F+M,History and archaeology,1,OTHER SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0,Level 7 (taught)
27697,F+M,History and archaeology,1,OTHER SERVICE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27698,F+M,History and archaeology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0,Level 7 (taught)
27699,F+M,History and archaeology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27700,F+M,History and archaeology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,TRANSPORTATION AND STORAGE,0,Level 7 (taught)
27701,F+M,History and archaeology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27702,F+M,History and archaeology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27703,F+M,History and archaeology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27704,F+M,History and archaeology,1,RADIO BROADCASTING,3,RADIO BROADCASTING,0,Level 7 (taught)
27705,F+M,History and archaeology,1,REAL ESTATE ACTIVITIES,3,"ARTS, ENTERTAINMENT AND RECREATION",0,Level 7 (taught)
27706,F+M,History and archaeology,1,REAL ESTATE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27707,F+M,History and archaeology,1,REAL ESTATE ACTIVITIES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,Level 7 (taught)
27708,F+M,History and archaeology,1,REAL ESTATE ACTIVITIES,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27709,F+M,History and archaeology,1,TRANSPORTATION AND STORAGE,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27710,F+M,History and archaeology,1,TRANSPORTATION AND STORAGE,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,0,Level 7 (taught)
27711,F+M,History and archaeology,1,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27712,F+M,History and archaeology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
27713,F+M,History and archaeology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27714,F+M,History and archaeology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,OTHER SERVICE ACTIVITIES,0,Level 7 (taught)
27715,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0,Level 7 (taught)
27716,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,EDUCATION,0,Level 7 (taught)
27717,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0,Level 7 (taught)
27718,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,INFORMATION AND COMMUNICATION,0,Level 7 (taught)
27719,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,REAL ESTATE ACTIVITIES,0,Level 7 (taught)
27720,F+M,Languages and area studies,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,0,Level 7 (taught)
27721,F+M,Languages and area studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,0,Level 7 (taught)
